Symbol,Yahoo Symbol,TradingSymbol,Symbol Token
TATAMOTORS,TATAMOTORS.NS,TATAMOTORS-EQ,3456
BHARTIARTL,BHARTIARTL.NS,BHARTIARTL-EQ,10604
UPL,UPL.NS,UPL-EQ,11287
ITC,ITC.NS,ITC-EQ,1660
GRASIM,GRASIM.NS,GRASIM-EQ,1232
BAJAJ-AUTO,BAJAJ-AUTO.NS,BAJAJ-AUTO-EQ,16669
TATASTEEL,TATASTEEL.NS,TATASTEEL-EQ,3499
BAJFINANCE,BAJFINANCE.NS,BAJFINANCE-EQ,317
HDFCBANK,HDFCBANK.NS,HDFCBANK-EQ,1333
AXISBANK,AXISBANK.NS,AXISBANK-EQ,5900
HDFCLIFE,HDFCLIFE.NS,HDFCLIFE-EQ,467
INDUSINDBK,INDUSINDBK.NS,INDUSINDBK-EQ,5258
SUNPHARMA,SUNPHARMA.NS,SUNPHARMA-EQ,3351
JSWSTEEL,JSWSTEEL.NS,JSWSTEEL-EQ,11723
TCS,TCS.NS,TCS-EQ,11536
TITAN,TITAN.NS,TITAN-EQ,3506
POWERGRID,POWERGRID.NS,POWERGRID-EQ,14977
SBIN,SBIN.NS,SBIN-EQ,3045
M&M,M&M.NS,M\u0026M-EQ,2031
RELIANCE,RELIANCE.NS,RELIANCE-EQ,2885
KOTAKBANK,KOTAKBANK.NS,KOTAKBANK-EQ,1922
EICHERMOT,EICHERMOT.NS,EICHERMOT-EQ,910
BAJAJFINSV,BAJAJFINSV.NS,BAJAJFINSV-EQ,16675
LT,LT.NS,LT-EQ,11483
NESTLEIND,NESTLEIND.NS,NESTLEIND-EQ,17963
BRITANNIA,BRITANNIA.NS,BRITANNIA-EQ,547
IOC,IOC.NS,IOC-EQ,1624
SBILIFE,SBILIFE.NS,SBILIFE-EQ,21808
NTPC,NTPC.NS,NTPC-EQ,11630
ADANIPORTS,ADANIPORTS.NS,ADANIPORTS-EQ,15083
MARUTI,MARUTI.NS,MARUTI-EQ,10999
DRREDDY,DRREDDY.NS,DRREDDY-EQ,881
HDFC,HDFC.NS,HDFC-EQ,1330
CIPLA,CIPLA.NS,CIPLA-EQ,694
HINDUNILVR,HINDUNILVR.NS,HINDUNILVR-EQ,1394
INFY,INFY.NS,INFY-EQ,1594
SHREECEM,SHREECEM.NS,SHREECEM-EQ,3103
ICICIBANK,ICICIBANK.NS,ICICIBANK-EQ,4963
HEROMOTOCO,HEROMOTOCO.NS,HEROMOTOCO-EQ,1348
COALINDIA,COALINDIA.NS,COALINDIA-EQ,20374
DIVISLAB,DIVISLAB.NS,DIVISLAB-EQ,10940
ULTRACEMCO,ULTRACEMCO.NS,ULTRACEMCO-EQ,11532
BPCL,BPCL.NS,BPCL-EQ,526
ASIANPAINT,ASIANPAINT.NS,ASIANPAINT-EQ,236
HINDALCO,HINDALCO.NS,HINDALCO-EQ,1363
ONGC,ONGC.NS,ONGC-EQ,2475
GAIL,GAIL.NS,GAIL-EQ,4717
WIPRO,WIPRO.NS,WIPRO-EQ,3787
HCLTECH,HCLTECH.NS,HCLTECH-EQ,7229
TECHM,TECHM.NS,TECHM-EQ,13538
